loading app ./flowmanager/flowmanager.py
loading app ryu.app.simple_switch_13
loading app ryu.topology.switches
loading app ryu.controller.ofp_handler
creating context wsgi
instantiating app None of DPSet
creating context dpset
instantiating app ./flowmanager/flowmanager.py of FlowManager
Created flowmanager
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.topology.switches of Switches
instantiating app ryu.controller.ofp_handler of OFPHandler
(26) wsgi starting up on http://0.0.0.0:5533
packet in 1 46:2e:30:18:f4:69 33:33:ff:18:f4:69 3
packet in 2 46:2e:30:18:f4:69 33:33:ff:18:f4:69 3
packet in 2 fa:22:b1:06:f1:8f 33:33:ff:06:f1:8f 3
packet in 1 fa:22:b1:06:f1:8f 33:33:ff:06:f1:8f 3
packet in 1 26:57:40:76:d6:58 33:33:00:00:00:16 3
packet in 2 26:57:40:76:d6:58 33:33:00:00:00:16 3
packet in 1 52:1a:bc:ee:75:3e 33:33:00:00:00:16 2
packet in 1 32:70:e7:f4:23:50 33:33:ff:f4:23:50 3
packet in 2 32:70:e7:f4:23:50 33:33:ff:f4:23:50 3
packet in 2 52:1a:bc:ee:75:3e 33:33:00:00:00:16 3
packet in 2 02:53:7a:2f:d0:b9 33:33:ff:2f:d0:b9 2
packet in 1 02:53:7a:2f:d0:b9 33:33:ff:2f:d0:b9 3
packet in 1 a2:eb:7f:0a:15:33 33:33:00:00:00:16 1
packet in 2 a2:eb:7f:0a:15:33 33:33:00:00:00:16 3
packet in 1 62:a9:8f:34:e0:7d 33:33:ff:34:e0:7d 3
packet in 2 62:a9:8f:34:e0:7d 33:33:ff:34:e0:7d 3
packet in 2 62:a9:8f:34:e0:7d 33:33:00:00:00:16 3
packet in 2 36:69:88:03:73:ee 33:33:ff:03:73:ee 3
packet in 1 62:a9:8f:34:e0:7d 33:33:00:00:00:16 3
packet in 1 36:69:88:03:73:ee 33:33:ff:03:73:ee 3
packet in 1 fa:22:b1:06:f1:8f 33:33:00:00:00:16 3
packet in 2 fa:22:b1:06:f1:8f 33:33:00:00:00:16 3
packet in 1 42:25:52:99:d8:35 33:33:00:00:00:16 3
packet in 1 5a:ed:fb:61:a3:d4 33:33:00:00:00:16 3
packet in 2 5a:ed:fb:61:a3:d4 33:33:00:00:00:16 3
packet in 2 86:2f:6f:2e:65:3f 33:33:00:00:00:16 1
packet in 1 86:2f:6f:2e:65:3f 33:33:00:00:00:16 3
packet in 2 9a:28:d4:8b:4b:f2 33:33:00:00:00:16 3
packet in 1 9a:28:d4:8b:4b:f2 33:33:00:00:00:16 3
packet in 2 92:2c:70:c2:40:13 33:33:00:00:00:16 3
packet in 1 92:2c:70:c2:40:13 33:33:00:00:00:16 3
packet in 2 72:7b:59:3f:48:68 33:33:ff:3f:48:68 3
packet in 2 26:57:40:76:d6:58 33:33:ff:76:d6:58 3
packet in 1 26:57:40:76:d6:58 33:33:ff:76:d6:58 3
packet in 2 ca:6d:5e:2d:d8:b0 33:33:ff:2d:d8:b0 3
packet in 2 9a:28:d4:8b:4b:f2 33:33:ff:8b:4b:f2 3
packet in 1 ca:6d:5e:2d:d8:b0 33:33:ff:2d:d8:b0 3
packet in 1 9a:28:d4:8b:4b:f2 33:33:ff:8b:4b:f2 3
packet in 1 b6:31:30:d9:91:79 33:33:00:00:00:16 3
packet in 2 ca:6d:5e:2d:d8:b0 33:33:00:00:00:16 3
packet in 1 ca:6d:5e:2d:d8:b0 33:33:00:00:00:16 3
packet in 2 72:7b:59:3f:48:68 33:33:00:00:00:16 3
packet in 2 46:2e:30:18:f4:69 33:33:00:00:00:16 3
packet in 1 46:2e:30:18:f4:69 33:33:00:00:00:16 3
packet in 1 da:45:fb:59:91:d3 33:33:ff:59:91:d3 3
packet in 2 da:45:fb:59:91:d3 33:33:ff:59:91:d3 3
