loading app ./flowmanager/flowmanager.py
loading app ryu.app.simple_switch_13
loading app ryu.topology.switches
loading app ryu.controller.ofp_handler
creating context wsgi
instantiating app None of DPSet
creating context dpset
instantiating app ./flowmanager/flowmanager.py of FlowManager
Created flowmanager
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.topology.switches of Switches
instantiating app ryu.controller.ofp_handler of OFPHandler
(27) wsgi starting up on http://0.0.0.0:5534
packet in 6 02:53:7a:2f:d0:b9 33:33:00:00:00:16 2
packet in 7 36:69:88:03:73:ee 33:33:00:00:00:16 2
packet in 8 02:53:7a:2f:d0:b9 33:33:00:00:00:16 1
packet in 7 02:53:7a:2f:d0:b9 33:33:00:00:00:16 4
packet in 8 36:69:88:03:73:ee 33:33:00:00:00:16 2
packet in 6 36:69:88:03:73:ee 33:33:00:00:00:16 3
packet in 7 5a:ed:fb:61:a3:d4 33:33:ff:61:a3:d4 2
packet in 8 5a:ed:fb:61:a3:d4 33:33:ff:61:a3:d4 2
packet in 6 5a:ed:fb:61:a3:d4 33:33:ff:61:a3:d4 3
packet in 7 32:70:e7:f4:23:50 33:33:00:00:00:16 1
packet in 8 32:70:e7:f4:23:50 33:33:00:00:00:16 2
packet in 6 32:70:e7:f4:23:50 33:33:00:00:00:16 3
packet in 6 42:25:52:99:d8:35 33:33:ff:99:d8:35 2
packet in 8 42:25:52:99:d8:35 33:33:ff:99:d8:35 1
packet in 7 42:25:52:99:d8:35 33:33:ff:99:d8:35 4
packet in 7 92:2c:70:c2:40:13 33:33:ff:c2:40:13 1
packet in 8 92:2c:70:c2:40:13 33:33:ff:c2:40:13 2
packet in 6 92:2c:70:c2:40:13 33:33:ff:c2:40:13 3
packet in 6 a2:eb:7f:0a:15:33 33:33:00:00:00:16 1
packet in 6 a2:eb:7f:0a:15:33 33:33:00:00:00:02 1
packet in 8 a2:eb:7f:0a:15:33 33:33:00:00:00:16 1
packet in 8 a2:eb:7f:0a:15:33 33:33:00:00:00:02 1
packet in 7 a2:eb:7f:0a:15:33 33:33:00:00:00:16 4
packet in 7 a2:eb:7f:0a:15:33 33:33:00:00:00:02 4
packet in 7 46:2e:30:18:f4:69 33:33:00:00:00:16 3
packet in 7 46:2e:30:18:f4:69 33:33:00:00:00:02 3
packet in 7 fa:22:b1:06:f1:8f 33:33:00:00:00:16 1
packet in 7 fa:22:b1:06:f1:8f 33:33:00:00:00:02 1
packet in 8 46:2e:30:18:f4:69 33:33:00:00:00:16 2
packet in 8 46:2e:30:18:f4:69 33:33:00:00:00:02 2
packet in 6 46:2e:30:18:f4:69 33:33:00:00:00:16 3
packet in 6 46:2e:30:18:f4:69 33:33:00:00:00:02 3
packet in 8 fa:22:b1:06:f1:8f 33:33:00:00:00:16 2
packet in 8 fa:22:b1:06:f1:8f 33:33:00:00:00:02 2
packet in 6 fa:22:b1:06:f1:8f 33:33:00:00:00:16 3
packet in 6 fa:22:b1:06:f1:8f 33:33:00:00:00:02 3
packet in 7 32:70:e7:f4:23:50 33:33:00:00:00:16 1
packet in 7 32:70:e7:f4:23:50 33:33:00:00:00:02 1
packet in 8 32:70:e7:f4:23:50 33:33:00:00:00:16 2
packet in 8 32:70:e7:f4:23:50 33:33:00:00:00:02 2
packet in 6 32:70:e7:f4:23:50 33:33:00:00:00:16 3
packet in 6 32:70:e7:f4:23:50 33:33:00:00:00:02 3
packet in 6 02:53:7a:2f:d0:b9 33:33:00:00:00:16 2
packet in 6 02:53:7a:2f:d0:b9 33:33:00:00:00:02 2
packet in 8 02:53:7a:2f:d0:b9 33:33:00:00:00:16 1
packet in 8 02:53:7a:2f:d0:b9 33:33:00:00:00:02 1
packet in 7 02:53:7a:2f:d0:b9 33:33:00:00:00:16 4
packet in 7 02:53:7a:2f:d0:b9 33:33:00:00:00:02 4
packet in 7 62:a9:8f:34:e0:7d 33:33:00:00:00:16 2
